case_id,dataset_split,camera,video_file,episode_index,frame_index,timestamp_seconds,frame_path,hard_case_tags,priority,locateanything_status,notes
hard_0001,short,head_left,file-001.mp4,534,43970,1465.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000534_frame043970_t1465667.jpg,visual_hard_candidate,high,not_run,auto_score=0.123962
hard_0002,short,head_left,file-002.mp4,809,38210,1273.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000809_frame038210_t1273667.jpg,visual_hard_candidate,high,not_run,auto_score=0.123773
hard_0003,short,head_left,file-001.mp4,539,44930,1497.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000539_frame044930_t1497667.jpg,visual_hard_candidate,high,not_run,auto_score=0.123713
hard_0004,short,head_left,file-001.mp4,544,45890,1529.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000544_frame045890_t1529667.jpg,visual_hard_candidate,high,not_run,auto_score=0.123668
hard_0005,short,head_left,file-000.mp4,276,53020,1767.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000276_frame053020_t1767333.jpg,visual_hard_candidate,high,not_run,auto_score=0.123654
hard_0006,short,head_left,file-002.mp4,814,39170,1305.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000814_frame039170_t1305667.jpg,visual_hard_candidate,high,not_run,auto_score=0.122414
hard_0007,short,head_left,file-002.mp4,699,17140,571.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000699_frame017140_t571333.jpg,visual_hard_candidate,high,not_run,auto_score=0.121818
hard_0008,short,head_left,file-001.mp4,353,9290,309.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000353_frame009290_t309667.jpg,visual_hard_candidate,high,not_run,auto_score=0.120897
hard_0009,short,head_left,file-002.mp4,868,49580,1652.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000868_frame049580_t1652667.jpg,visual_hard_candidate,high,not_run,auto_score=0.120862
hard_0010,short,head_left,file-000.mp4,79,15220,507.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000079_frame015220_t507333.jpg,visual_hard_candidate,high,not_run,auto_score=0.120849
hard_0011,short,head_left,file-001.mp4,503,38130,1271.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000503_frame038130_t1271000.jpg,visual_hard_candidate,high,not_run,auto_score=0.120818
hard_0012,short,head_left,file-001.mp4,378,14100,470.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000378_frame014100_t470000.jpg,visual_hard_candidate,high,not_run,auto_score=0.120625
hard_0013,short,head_left,file-001.mp4,529,43010,1433.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000529_frame043010_t1433667.jpg,visual_hard_candidate,high,not_run,auto_score=0.120565
hard_0014,short,head_left,file-002.mp4,731,23310,777.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000731_frame023310_t777000.jpg,visual_hard_candidate,high,not_run,auto_score=0.120272
hard_0015,short,head_left,file-000.mp4,214,41090,1369.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000214_frame041090_t1369667.jpg,visual_hard_candidate,high,not_run,auto_score=0.120119
hard_0016,short,head_left,file-000.mp4,293,56310,1877.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000293_frame056310_t1877000.jpg,visual_hard_candidate,high,not_run,auto_score=0.120113
hard_0017,short,head_left,file-001.mp4,524,42050,1401.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000524_frame042050_t1401667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119861
hard_0018,short,head_left,file-002.mp4,703,17940,598.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000703_frame017940_t598000.jpg,visual_hard_candidate,high,not_run,auto_score=0.119856
hard_0019,short,head_left,file-000.mp4,276,53100,1770.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000276_frame053100_t1770000.jpg,visual_hard_candidate,high,not_run,auto_score=0.119852
hard_0020,short,head_left,file-001.mp4,509,39170,1305.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000509_frame039170_t1305667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119848
hard_0021,short,head_left,file-001.mp4,313,1600,53.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000313_frame001600_t053333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119829
hard_0022,short,head_left,file-001.mp4,503,38050,1268.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000503_frame038050_t1268333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119765
hard_0023,short,head_left,file-001.mp4,353,9370,312.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000353_frame009370_t312333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119726
hard_0024,short,head_left,file-000.mp4,229,43970,1465.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000229_frame043970_t1465667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119697
hard_0025,short,head_left,file-000.mp4,239,45890,1529.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000239_frame045890_t1529667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119689
hard_0026,short,head_left,file-002.mp4,699,17220,574.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000699_frame017220_t574000.jpg,visual_hard_candidate,high,not_run,auto_score=0.119673
hard_0027,short,head_left,file-002.mp4,893,54390,1813.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000893_frame054390_t1813000.jpg,visual_hard_candidate,high,not_run,auto_score=0.119641
hard_0028,short,head_left,file-002.mp4,713,19780,659.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000713_frame019780_t659333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119573
hard_0029,short,head_left,file-002.mp4,829,42050,1401.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000829_frame042050_t1401667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119538
hard_0030,short,head_left,file-000.mp4,207,39810,1327.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000207_frame039810_t1327000.jpg,visual_hard_candidate,high,not_run,auto_score=0.119487
hard_0031,short,head_left,file-001.mp4,413,20740,691.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000413_frame020740_t691333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119485
hard_0032,short,head_left,file-002.mp4,844,44930,1497.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000844_frame044930_t1497667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119483
hard_0033,short,head_left,file-001.mp4,550,47100,1570.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000550_frame047100_t1570000.jpg,visual_hard_candidate,high,not_run,auto_score=0.119436
hard_0034,short,head_left,file-001.mp4,349,8570,285.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000349_frame008570_t285667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119405
hard_0035,short,head_left,file-000.mp4,79,15300,510.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000079_frame015300_t510000.jpg,visual_hard_candidate,high,not_run,auto_score=0.119387
hard_0036,short,head_left,file-000.mp4,182,35000,1166.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000182_frame035000_t1166667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119345
hard_0037,short,head_left,file-001.mp4,349,8490,283.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000349_frame008490_t283000.jpg,visual_hard_candidate,high,not_run,auto_score=0.119329
hard_0038,short,head_left,file-002.mp4,839,43970,1465.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000839_frame043970_t1465667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119321
hard_0039,short,head_left,file-002.mp4,698,16900,563.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000698_frame016900_t563333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119275
hard_0040,short,head_left,file-000.mp4,31,6010,200.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000031_frame006010_t200333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119173
hard_0041,short,head_left,file-000.mp4,68,13060,435.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000068_frame013060_t435333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119148
hard_0042,short,head_left,file-001.mp4,403,18900,630.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000403_frame018900_t630000.jpg,visual_hard_candidate,high,not_run,auto_score=0.119136
hard_0043,short,head_left,file-001.mp4,447,27310,910.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000447_frame027310_t910333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119111
hard_0044,short,head_left,file-000.mp4,234,44930,1497.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000234_frame044930_t1497667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119059
hard_0045,short,head_left,file-002.mp4,778,32360,1078.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000778_frame032360_t1078667.jpg,visual_hard_candidate,high,not_run,auto_score=0.119052
hard_0046,short,head_left,file-002.mp4,765,29800,993.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000765_frame029800_t993333.jpg,visual_hard_candidate,high,not_run,auto_score=0.119040
hard_0047,short,head_left,file-002.mp4,746,26190,873.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000746_frame026190_t873000.jpg,visual_hard_candidate,high,not_run,auto_score=0.118965
hard_0048,short,head_left,file-003.mp4,979,12290,409.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file003_episode000979_frame012290_t409667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118925
hard_0049,short,head_left,file-001.mp4,388,15940,531.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000388_frame015940_t531333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118866
hard_0050,short,head_left,file-000.mp4,28,5450,181.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000028_frame005450_t181667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118830
hard_0051,short,head_left,file-001.mp4,402,18660,622.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000402_frame018660_t622000.jpg,visual_hard_candidate,high,not_run,auto_score=0.118788
hard_0052,short,head_left,file-001.mp4,517,40770,1359.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000517_frame040770_t1359000.jpg,visual_hard_candidate,high,not_run,auto_score=0.118772
hard_0053,short,head_left,file-001.mp4,442,26350,878.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000442_frame026350_t878333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118698
hard_0054,short,head_left,file-002.mp4,708,18820,627.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000708_frame018820_t627333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118698
hard_0055,short,head_left,file-000.mp4,108,20740,691.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000108_frame020740_t691333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118686
hard_0056,short,head_left,file-000.mp4,287,55110,1837.000000,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000287_frame055110_t1837000.jpg,visual_hard_candidate,high,not_run,auto_score=0.118674
hard_0057,short,head_left,file-001.mp4,514,40130,1337.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000514_frame040130_t1337667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118650
hard_0058,short,head_left,file-002.mp4,834,43010,1433.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000834_frame043010_t1433667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118621
hard_0059,short,head_left,file-001.mp4,381,14660,488.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000381_frame014660_t488667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118605
hard_0060,short,head_left,file-002.mp4,830,42290,1409.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000830_frame042290_t1409667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118600
hard_0061,short,head_left,file-001.mp4,383,14980,499.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000383_frame014980_t499333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118556
hard_0062,short,head_left,file-000.mp4,224,43010,1433.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000224_frame043010_t1433667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118555
hard_0063,short,head_left,file-001.mp4,378,14020,467.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000378_frame014020_t467333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118552
hard_0064,short,head_left,file-002.mp4,859,47900,1596.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000859_frame047900_t1596667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118503
hard_0065,short,head_left,file-002.mp4,780,32680,1089.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000780_frame032680_t1089333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118502
hard_0066,short,head_left,file-003.mp4,974,11330,377.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file003_episode000974_frame011330_t377667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118495
hard_0067,short,head_left,file-001.mp4,308,640,21.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000308_frame000640_t021333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118492
hard_0068,short,head_left,file-001.mp4,476,32920,1097.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000476_frame032920_t1097333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118483
hard_0069,short,head_left,file-001.mp4,519,41090,1369.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000519_frame041090_t1369667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118452
hard_0070,short,head_left,file-000.mp4,78,14980,499.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000078_frame014980_t499333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118403
hard_0071,short,head_left,file-002.mp4,636,5050,168.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000636_frame005050_t168333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118401
hard_0072,short,head_left,file-000.mp4,186,35720,1190.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000186_frame035720_t1190667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118319
hard_0073,short,head_left,file-001.mp4,352,9130,304.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000352_frame009130_t304333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118315
hard_0074,short,head_left,file-000.mp4,219,42050,1401.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000219_frame042050_t1401667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118306
hard_0075,short,head_left,file-000.mp4,204,39170,1305.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000204_frame039170_t1305667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118294
hard_0076,short,head_left,file-002.mp4,879,51740,1724.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000879_frame051740_t1724667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118273
hard_0077,short,head_left,file-002.mp4,693,15940,531.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file002_episode000693_frame015940_t531333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118248
hard_0078,short,head_left,file-003.mp4,938,4420,147.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file003_episode000938_frame004420_t147333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118238
hard_0079,short,head_left,file-001.mp4,496,36680,1222.666667,task_A_dataset_frame/outputs/frames_raw/short_head_left_file001_episode000496_frame036680_t1222667.jpg,visual_hard_candidate,high,not_run,auto_score=0.118235
hard_0080,short,head_left,file-000.mp4,170,32680,1089.333333,task_A_dataset_frame/outputs/frames_raw/short_head_left_file000_episode000170_frame032680_t1089333.jpg,visual_hard_candidate,high,not_run,auto_score=0.118199
